x,y
455,6733
458,3780
458,7471
462,5461
462,5790
463,5555
463,5696
466,2504
466,8747
467,3122
467,8129
468,2636
468,8615
471,2530
471,8721
472,47
472,11204
473,538
473,10713
475,3995
475,7256
476,1307
476,9944
477,2965
477,8286
478,5275
478,5976
479,500
479,10751
481,4524
481,6727
484,2821
484,8430
485,3980
485,7271
486,2247
486,9004
489,2089
489,9162
490,2916
490,8335
493,4746
493,6505
495,1962
495,9289
497,5411
497,5840
498,5515
498,5736
499,311
499,10940
501,2530
501,8721
502,5486
502,5765
504,3450
504,7801
505,1005
505,10246
506,3913
506,7338
508,2596
508,8655
509,742
509,10509
510,1359
510,9892
512,2845
512,8406
513,4970
513,6281
515,162
515,11089
518,3620
518,7631
522,1936
522,9315
523,1643
523,9608
524,4727
524,6524
525,3467
525,7784
526,1427
526,9824
527,1268
527,9983
530,4210
530,7041
531,307
531,10944
534,2447
534,8804
535,195
535,11056
538,587
538,10664
540,3689
540,7562
541,1409
541,9842
542,2516
542,8735
543,4199
543,7052
544,4161
544,7090
546,2310
546,8941
549,4310
549,6941
550,2385
550,8866
551,5053
551,6198
552,2726
552,8525
553,4277
553,6974
554,839
554,10412
559,3446
559,7805
560,1195
560,10056
561,4476
561,6775
563,4371
563,6880
565,3417
565,7834
566,2930
566,8321
572,11
572,11240
576,1456
576,9795
577,2762
577,8489
578,2260
578,8991
580,2023
580,9228
581,5081
581,6170
584,3966
584,7285
591,1380
591,9871
593,2936
593,8315
596,3887
596,7364
598,2677
598,8574
599,2699
599,8552
602,540
602,10711
603,1547
603,9704
605,5163
605,6088
608,3568
608,7683
609,3483
609,7768
611,3535
611,7716
612,3251
612,8000
613,5409
613,5842
614,5069
614,6182
617,1615
617,9636
619,5185
619,6066
621,1890
621,9361
622,4553
622,6698
623,5546
623,5705
625,723
625,10528
627,443
627,10808
628,3232
628,8019
635,549
635,10702
637,4334
637,6917
638,1849
638,9402
639,2473
639,8778
641,4104
641,7147
642,3009
642,8242
643,3852
643,7399
644,3749
644,7502
647,3003
647,8248
648,1252
648,9999
649,5240
649,6011
650,5143
650,6108
651,5169
651,6082
653,1672
653,9579
656,1072
656,10179
657,955
657,10296
661,5618
661,5633
662,4715
662,6536
665,2148
665,9103
666,816
666,10435
667,1761
667,9490
668,3232
668,8019
669,4205
669,7046
670,4923
670,6328
675,2537
675,8714
676,3674
676,7577
678,2253
678,8998
679,4138
679,7113
682,534
682,10717
683,1344
683,9907
684,4297
684,6954
685,787
685,10464
686,3905
686,7346
687,5232
687,6019
688,22
688,11229
689,4970
689,6281
690,242
690,11009
691,1542
691,9709
693,3543
693,7708
694,2184
694,9067
695,3757
695,7494
702,4118
702,7133
703,686
703,10565
704,4656
704,6595
709,4989
709,6262
710,4448
710,6803
712,1342
712,9909
716,4001
716,7250
721,3705
721,7546
722,4277
722,6974
723,637
723,10614
724,4501
724,6750
726,2550
726,8701
729,3025
729,8226
731,1811
731,9440
735,481
735,10770
736,1879
736,9372
738,1814
738,9437
739,4525
739,6726
740,3201
740,8050
743,3003
743,8248
751,5333
751,5918
753,2520
753,8731
754,3648
754,7603
757,2642
757,8609
760,2507
760,8744
761,1894
761,9357
762,5240
762,6011
763,2857
763,8394
765,820
765,10431
766,541
766,10710
774,3799
774,7452
775,1194
775,10057
779,2279
779,8972
780,2751
780,8500
781,3032
781,8219
783,2447
783,8804
784,2040
784,9211
788,5011
788,6240
789,4888
789,6363
792,1169
792,10082
793,4011
793,7240
797,5484
797,5767
800,743
800,10508
801,317
801,10934
803,2897
803,8354
804,4035
804,7216
807,542
807,10709
810,3786
810,7465
811,2750
811,8501
813,4015
813,7236
816,1417
816,9834
818,5126
818,6125
820,1103
820,10148
822,3576
822,7675
823,2043
823,9208
824,3281
824,7970
825,1371
825,9880
827,960
827,10291
829,1145
829,10106
831,5489
831,5762
833,984
833,10267
836,3993
836,7258
838,2666
838,8585
840,510
840,10741
844,5607
844,5644
846,26
846,11225
849,1449
849,9802
852,4038
852,7213
853,2723
853,8528
855,1677
855,9574
856,4923
856,6328
860,5139
860,6112
861,4083
861,7168
862,2464
862,8787
863,3212
863,8039
865,2035
865,9216
867,5294
867,5957
868,3347
868,7904
869,1870
869,9381
870,1665
870,9586
871,5033
871,6218
873,2400
873,8851
875,2963
875,8288
878,234
878,11017
882,3910
882,7341
883,1887
883,9364
885,3388
885,7863
886,220
886,11031
887,2512
887,8739
889,2787
889,8464
890,2831
890,8420
891,296
891,10955
893,4660
893,6591
895,1243
895,10008
898,2882
898,8369
901,683
901,10568
902,3034
902,8217
905,4560
905,6691
908,3549
908,7702
909,5405
909,5846
910,2909
910,8342
915,243
915,11008
916,4320
916,6931
920,1441
920,9810
921,3549
921,7702
922,3874
922,7377
925,1148
925,10103
930,4877
930,6374
932,737
932,10514
933,3228
933,8023
938,4530
938,6721
939,2478
939,8773
944,4410
944,6841
945,3968
945,7283
947,4895
947,6356
949,2774
949,8477
950,1542
950,9709
953,3748
953,7503
954,679
954,10572
956,824
956,10427
960,1247
960,10004
961,4825
961,6426
963,3048
963,8203
964,2995
964,8256
969,2910
969,8341
970,2138
970,9113
971,1456
971,9795
973,5163
973,6088
975,5444
975,5807
976,1840
976,9411
978,1687
978,9564
979,2616
979,8635
981,2730
981,8521
984,2123
984,9128
985,21
985,11230
987,525
987,10726
988,1297
988,9954
989,2499
989,8752
990,3285
990,7966
996,4521
996,6730
997,2380
997,8871
999,3308
999,7943
1001,670
1001,10581
1004,5089
1004,6162
1005,1000
1005,10251
1007,1445
1007,9806
1009,3701
1009,7550
1014,675
1014,10576
1015,4011
1015,7240
1019,3247
1019,8004
1020,850
1020,10401
1023,960
1023,10291
1024,2403
1024,8848
1026,3077
1026,8174
1028,3226
1028,8025
1031,2814
1031,8437
1032,2014
1032,9237
1033,3508
1033,7743
1034,2072
1034,9179
1036,2512
1036,8739
1038,745
1038,10506
1039,3688
1039,7563
1040,5000
1040,6251
1041,1406
1041,9845
1044,1342
1044,9909
1045,2899
1045,8352
1047,5578
1047,5673
1049,2013
1049,9238
1050,1492
1050,9759
1056,1374
1056,9877
1057,2730
1057,8521
1058,3775
1058,7476
1060,446
1060,10805
1061,2434
1061,8817
1062,2987
1062,8264
1063,801
1063,10450
1066,903
1066,10348
1067,2916
1067,8335
1068,1802
1068,9449
1069,2280
1069,8971
1072,254
1072,10997
1073,4343
1073,6908
1074,175
1074,11076
1077,3329
1077,7922
1083,4223
1083,7028
1085,2745
1085,8506
1087,3430
1087,7821
1088,3966
1088,7285
1089,1071
1089,10180
1090,1331
1090,9920
1091,1621
1091,9630
1093,1020
1093,10231
1095,1632
1095,9619
1096,3048
1096,8203
1097,1731
1097,9520
1098,1860
1098,9391
1099,1721
1099,9530
1101,271
1101,10980
1102,1167
1102,10084
1105,4195
1105,7056
1106,2609
1106,8642
1107,992
1107,10259
1109,2253
1109,8998
1110,1036
1110,10215
1111,3752
1111,7499
1115,4374
1115,6877
1118,2753
1118,8498
1119,1482
1119,9769
1122,4681
1122,6570
1123,1896
1123,9355
1125,2454
1125,8797
1126,4367
1126,6884
1127,1648
1127,9603
1129,5219
1129,6032
1131,3747
1131,7504
1133,3731
1133,7520
1135,383
1135,10868
1140,1077
1140,10174
1141,3000
1141,8251
1143,2573
1143,8678
1145,3084
1145,8167
1148,4216
1148,7035
1149,2582
1149,8669
1152,1475
1152,9776
1154,3716
1154,7535
1155,2383
1155,8868
1156,2487
1156,8764
1157,5015
1157,6236
1161,4211
1161,7040
1165,3101
1165,8150
1166,2702
1166,8549
1167,3412
1167,7839
1169,1721
1169,9530
1171,1486
1171,9765
1172,1247
1172,10004
1176,3147
1176,8104
1177,5473
1177,5778
1178,2528
1178,8723
1181,3344
1181,7907
1183,4285
1183,6966
1189,5597
1189,5654
1190,2123
1190,9128
1191,168
1191,11083
1196,1635
1196,9616
1197,4218
1197,7033
1198,1796
1198,9455
1199,2045
1199,9206
1200,997
1200,10254
1203,4371
1203,6880
1206,5429
1206,5822
1207,4594
1207,6657
1208,2335
1208,8916
1210,5153
1210,6098
1211,1870
1211,9381
1212,4251
1212,7000
1214,4216
1214,7035
1215,1451
1215,9800
1217,2340
1217,8911
1218,4390
1218,6861
1220,4125
1220,7126
1221,1198
1221,10053
1224,955
1224,10296
1225,1320
1225,9931
1227,5510
1227,5741
1228,823
1228,10428
1230,3222
1230,8029
1231,858
1231,10393
1232,3648
1232,7603
1234,2318
1234,8933
1239,2202
1239,9049
1245,5333
1245,5918
1247,2232
1247,9019
1248,4622
1248,6629
1249,4140
1249,7111
1251,458
1251,10793
1252,5609
1252,5642
1253,2473
1253,8778
1255,5065
1255,6186
1257,2193
1257,9058
1260,4670
1260,6581
1267,973
1267,10278
1271,2118
1271,9133
1274,4727
1274,6524
1278,596
1278,10655
1280,3414
1280,7837
1284,1000
1284,10251
1285,5545
1285,5706
1286,128
1286,11123
1287,2478
1287,8773
1288,1378
1288,9873
1289,2216
1289,9035
1291,1112
1291,10139
1294,2544
1294,8707
1295,475
1295,10776
1297,3516
1297,7735
1300,2157
1300,9094
1302,563
1302,10688
1303,3126
1303,8125
1304,3469
1304,7782
1305,2831
1305,8420
1306,5049
1306,6202
1307,3537
1307,7714
1308,3508
1308,7743
1314,2900
1314,8351
1318,2516
1318,8735
1320,2337
1320,8914
1321,222
1321,11029
1323,342
1323,10909
1325,3857
1325,7394
1326,1194
1326,10057
1327,1843
1327,9408
1328,4967
1328,6284
1329,1648
1329,9603
1330,941
1330,10310
1332,2361
1332,8890
1334,5311
1334,5940
1337,2554
1337,8697
1338,1285
1338,9966
1340,4248
1340,7003
1341,5531
1341,5720
1342,3085
1342,8166
1343,2927
1343,8324
1350,1198
1350,10053
1357,3000
1357,8251
1358,4770
1358,6481
1359,5585
1359,5666
1361,1311
1361,9940
1363,1775
1363,9476
1366,1014
1366,10237
1369,372
1369,10879
1372,1503
1372,9748
1373,5066
1373,6185
1377,328
1377,10923
1378,3077
1378,8174
1379,3373
1379,7878
1380,2448
1380,8803
1381,3281
1381,7970
1384,982
1384,10269
1387,5188
1387,6063
1392,1951
1392,9300
1396,4413
1396,6838
1397,3729
1397,7522
1398,4729
1398,6522
1400,3459
1400,7792
1401,2077
1401,9174
1403,3527
1403,7724
1404,954
1404,10297
1408,4890
1408,6361
1409,1951
1409,9300
1410,1684
1410,9567
1411,4170
1411,7081
1431,3534
1431,7717
1434,1179
1434,10072
1435,4930
1435,6321
1437,5538
1437,5713
1440,5308
1440,5943
1442,1908
1442,9343
1444,2609
1444,8642
1448,4869
1448,6382
1449,515
1449,10736
1450,1569
1450,9682
1452,2115
1452,9136
1456,3053
1456,8198
1459,5282
1459,5969
1460,3865
1460,7386
1462,2930
1462,8321
1464,845
1464,10406
1465,997
1465,10254
1466,13
1466,11238
1467,2584
1467,8667
1470,5572
1470,5679
1472,5578
1472,5673
1475,4989
1475,6262
1476,141
1476,11110
1477,3184
1477,8067
1478,2874
1478,8377
1479,14
1479,11237
1480,1289
1480,9962
1482,4731
1482,6520
1485,422
1485,10829
1486,2544
1486,8707
1487,2436
1487,8815
1489,4421
1489,6830
1491,2605
1491,8646
1493,737
1493,10514
1496,2897
1496,8354
1498,4626
1498,6625
1500,3413
1500,7838
1501,2591
1501,8660
1502,4224
1502,7027
1504,3809
1504,7442
1505,3542
1505,7709
1506,3672
1506,7579
1509,2208
1509,9043
1511,2884
1511,8367
1513,374
1513,10877
1515,4311
1515,6940
1516,3737
1516,7514
1523,2262
1523,8989
1526,350
1526,10901
1528,4731
1528,6520
1532,5481
1532,5770
1533,2477
1533,8774
1535,4118
1535,7133
1539,5068
1539,6183
1540,589
1540,10662
1542,158
1542,11093
1543,4723
1543,6528
1545,4285
1545,6966
1549,825
1549,10426
1550,3917
1550,7334
1553,3036
1553,8215
1558,919
1558,10332
1559,2745
1559,8506
1560,1013
1560,10238
1561,131
1561,11120
1562,4761
1562,6490
1563,3947
1563,7304
1566,1802
1566,9449
1567,2850
1567,8401
1570,2292
1570,8959
1571,3733
1571,7518
1572,412
1572,10839
1576,825
1576,10426
1577,47
1577,11204
1578,917
1578,10334
1579,3411
1579,7840
1581,2484
1581,8767
1582,4214
1582,7037
1583,2581
1583,8670
1584,4382
1584,6869
1586,3533
1586,7718
1587,3748
1587,7503
1589,3710
1589,7541
1590,22
1590,11229
1594,4804
1594,6447
1596,4813
1596,6438
1597,1179
1597,10072
1598,16
1598,11235
1599,1197
1599,10054
1608,2666
1608,8585
1609,2593
1609,8658
1612,631
1612,10620
1613,3846
1613,7405
1616,3011
1616,8240
1620,2951
1620,8300
1625,4698
1625,6553
1627,3267
1627,7984
1628,102
1628,11149
1629,637
1629,10614
1631,5192
1631,6059
1633,2074
1633,9177
1634,2683
1634,8568
1635,5096
1635,6155
1637,1221
1637,10030
1640,1470
1640,9781
1641,5031
1641,6220
1645,3540
1645,7711
1646,2272
1646,8979
1650,3568
1650,7683
1651,2784
1651,8467
1653,2138
1653,9113
1656,5028
1656,6223
1657,362
1657,10889
1659,5560
1659,5691
1660,1071
1660,10180
1663,500
1663,10751
1665,899
1665,10352
1667,4408
1667,6843
1669,90
1669,11161
1670,2292
1670,8959
1671,4746
1671,6505
1673,726
1673,10525
1675,5151
1675,6100
1676,207
1676,11044
1678,4338
1678,6913
1679,2423
1679,8828
1686,2674
1686,8577
1687,4834
1687,6417
1688,1945
1688,9306
1689,4756
1689,6495
1690,2865
1690,8386
1692,556
1692,10695
1693,1124
1693,10127
1694,2766
1694,8485
1697,4113
1697,7138
1698,2924
1698,8327
1699,766
1699,10485
1704,2004
1704,9247
1705,1761
1705,9490
1706,5229
1706,6022
1708,4939
1708,6312
1710,3255
1710,7996
1711,144
1711,11107
1712,4248
1712,7003
1713,1903
1713,9348
1714,2134
1714,9117
1716,5609
1716,5642
1717,4901
1717,6350
1721,2234
1721,9017
1724,5535
1724,5716
1726,1894
1726,9357
1727,5430
1727,5821
1728,927
1728,10324
1731,369
1731,10882
1732,2050
1732,9201
1733,1320
1733,9931
1734,3580
1734,7671
1735,817
1735,10434
1738,5577
1738,5674
1740,2300
1740,8951
1741,4621
1741,6630
1743,5229
1743,6022
1745,3740
1745,7511
1747,1677
1747,9574
1748,1844
1748,9407
1751,5562
1751,5689
1754,1036
1754,10215
1755,1512
1755,9739
1756,5313
1756,5938
1758,5308
1758,5943
1761,2404
1761,8847
1766,5234
1766,6017
1768,2774
1768,8477
1769,1477
1769,9774
1771,970
1771,10281
1773,5391
1773,5860
1776,2858
1776,8393
1777,2571
1777,8680
1778,3780
1778,7471
1783,632
1783,10619
1784,4486
1784,6765
1785,141
1785,11110
1788,1663
1788,9588
1790,1090
1790,10161
1791,2349
1791,8902
1792,602
1792,10649
1794,2083
1794,9168
1797,4055
1797,7196
1799,2726
1799,8525
1800,102
1800,11149
1801,2542
1801,8709
1803,5166
1803,6085
1806,1311
1806,9940
1809,189
1809,11062
1811,4416
1811,6835
1812,3010
1812,8241
1815,4293
1815,6958
1817,820
1817,10431
1818,3739
1818,7512
1824,3479
1824,7772
1826,4004
1826,7247
1828,3259
1828,7992
1831,858
1831,10393
1832,608
1832,10643
1834,4019
1834,7232
1837,5430
1837,5821
1838,5143
1838,6108
1839,3280
1839,7971
1840,1872
1840,9379
1841,3201
1841,8050
1847,2979
1847,8272
1848,3747
1848,7504
1851,4947
1851,6304
1852,3857
1852,7394
1853,1078
1853,10173
1854,3785
1854,7466
1855,1925
1855,9326
1858,631
1858,10620
1859,195
1859,11056
1861,1322
1861,9929
1863,3304
1863,7947
1865,2440
1865,8811
1867,4499
1867,6752
1868,2367
1868,8884
1870,1768
1870,9483
1874,4117
1874,7134
1875,1479
1875,9772
1876,4230
1876,7021
1877,3398
1877,7853
1878,4301
1878,6950
1880,1797
1880,9454
1882,2788
1882,8463
1884,3315
1884,7936
1885,879
1885,10372
1890,683
1890,10568
1891,4548
1891,6703
1892,3390
1892,7861
1893,5581
1893,5670
1894,374
1894,10877
1896,1869
1896,9382
1897,2929
1897,8322
1898,5381
1898,5870
1899,3683
1899,7568
1908,3458
1908,7793
1910,3304
1910,7947
1914,307
1914,10944
1918,1861
1918,9390
1921,973
1921,10278
1923,41
1923,11210
1927,2610
1927,8641
1929,827
1929,10424
1930,1130
1930,10121
1931,1844
1931,9407
1934,1365
1934,9886
1935,723
1935,10528
1937,4357
1937,6894
1938,2164
1938,9087
1940,2305
1940,8946
1942,1475
1942,9776
1943,623
1943,10628
1944,2139
1944,9112
1946,5153
1946,6098
1947,1675
1947,9576
1949,2021
1949,9230
1950,2276
1950,8975
1951,5249
1951,6002
1952,2074
1952,9177
1955,1650
1955,9601
1964,4875
1964,6376
1966,197
1966,11054
1967,3469
1967,7782
1969,1379
1969,9872
1970,501
1970,10750
1971,5223
1971,6028
1972,4268
1972,6983
1975,1105
1975,10146
1977,4015
1977,7236
1979,962
1979,10289
1983,4685
1983,6566
1984,3874
1984,7377
1986,1093
1986,10158
1988,4729
1988,6522
1993,1759
1993,9492
1994,3527
1994,7724
1995,3791
1995,7460
1999,4685
1999,6566
2001,352
2001,10899
2003,3828
2003,7423
2004,3315
2004,7936
2005,542
2005,10709
2008,2411
2008,8840
2012,660
2012,10591
2013,4316
2013,6935
2015,1378
2015,9873
2016,4740
2016,6511
2017,5075
2017,6176
2018,327
2018,10924
2019,670
2019,10581
2020,4838
2020,6413
2021,3732
2021,7519
2023,4549
2023,6702
2025,1477
2025,9774
2027,3855
2027,7396
2028,1598
2028,9653
2029,1359
2029,9892
2030,3533
2030,7718
2031,3581
2031,7670
2034,5116
2034,6135
2035,4436
2035,6815
2037,4815
2037,6436
2039,3377
2039,7874
2040,1632
2040,9619
2041,757
2041,10494
2042,3743
2042,7508
2045,2716
2045,8535
2047,2762
2047,8489
2049,710
2049,10541
2053,1288
2053,9963
2054,2350
2054,8901
2057,3775
2057,7476
2058,4776
2058,6475
2060,1910
2060,9341
2061,5597
2061,5654
2062,3183
2062,8068
2063,1434
2063,9817
2064,3591
2064,7660
2065,228
2065,11023
2067,5068
2067,6183
2068,5461
2068,5790
2069,2971
2069,8280
2070,1568
2070,9683
2075,5532
2075,5719
2077,4838
2077,6413
2079,2592
2079,8659
2085,4840
2085,6411
2086,5235
2086,6016
2087,4419
2087,6832
2090,4741
2090,6510
2092,1169
2092,10082
2093,2367
2093,8884
2094,2229
2094,9022
2095,1234
2095,10017
2096,4818
2096,6433
2100,5455
2100,5796
2101,1708
2101,9543
2103,328
2103,10923
2104,1025
2104,10226
2105,287
2105,10964
2106,951
2106,10300
2111,922
2111,10329
2112,373
2112,10878
2113,220
2113,11031
2115,79
2115,11172
2117,3574
2117,7677
2118,146
2118,11105
2119,1090
2119,10161
2121,1773
2121,9478
2122,2211
2122,9040
2123,1422
2123,9829
2125,292
2125,10959
2127,4799
2127,6452
2128,1653
2128,9598
2129,1967
2129,9284
2132,4864
2132,6387
2139,5459
2139,5792
2140,5151
2140,6100
2141,2677
2141,8574
2142,4814
2142,6437
2144,2089
2144,9162
2146,2170
2146,9081
2147,398
2147,10853
2148,4716
2148,6535
2150,2569
2150,8682
2155,175
2155,11076
2156,2569
2156,8682
2159,154
2159,11097
2160,4213
2160,7038
2161,1013
2161,10238
2163,1209
2163,10042
2164,0
2164,0
2166,5560
2166,5691
2167,5390
2167,5861
2171,757
2171,10494
2172,2995
2172,8256
2174,4580
2174,6671
2177,3624
2177,7627
2178,964
2178,10287
2180,1032
2180,10219
2181,2221
2181,9030
2189,200
2189,11051
2191,4665
2191,6586
2193,1449
2193,9802
2194,2366
2194,8885
2196,508
2196,10743
2198,4908
2198,6343
2199,4269
2199,6982
2201,4086
2201,7165
2202,5085
2202,6166
2203,941
2203,10310
2204,1553
2204,9698
2205,3008
2205,8243
2208,2979
2208,8272
2209,2811
2209,8440
2210,2379
2210,8872
2211,5167
2211,6084
2213,4416
2213,6835
2219,3818
2219,7433
2221,5193
2221,6058
2222,1199
2222,10052
2223,4975
2223,6276
2224,1451
2224,9800
2226,1907
2226,9344
2227,5261
2227,5990
2228,2035
2228,9216
2233,2656
2233,8595
2235,5185
2235,6066
2236,4130
2236,7121
2237,911
2237,10340
2239,1569
2239,9682
2242,4167
2242,7084
2244,3624
2244,7627
2247,3243
2247,8008
2250,4436
2250,6815
2251,4477
2251,6774
2254,1563
2254,9688
2255,2484
2255,8767
2256,3450
2256,7801
2257,5338
2257,5913
2259,2636
2259,8615
2261,455
2261,10796
2262,2620
2262,8631
2264,2038
2264,9213
2265,3183
2265,8068
2266,21
2266,11230
2267,3061
2267,8190
2269,3858
2269,7393
2271,1967
2271,9284
2272,4065
2272,7186
2273,347
2273,10904
2274,3771
2274,7480
2275,4463
2275,6788
2276,13
2276,11238
2277,764
2277,10487
2279,5621
2279,5630
2284,2116
2284,9135
2286,1675
2286,9576
2287,1665
2287,9586
2288,5252
2288,5999
2292,4975
2292,6276
2294,2918
2294,8333
2295,5147
2295,6104
2296,4935
2296,6316
2298,5591
2298,5660
2299,2637
2299,8614
2300,881
2300,10370
2301,1072
2301,10179
2302,2050
2302,9201
2304,2240
2304,9011
2305,2559
2305,8692
2306,3263
2306,7988
2307,608
2307,10643
2314,5533
2314,5718
2315,479
2315,10772
2320,4567
2320,6684
2321,3721
2321,7530
2323,4004
2323,7247
2324,804
2324,10447
2326,1750
2326,9501
2328,4901
2328,6350
2330,557
2330,10694
2331,4290
2331,6961
2334,2430
2334,8821
2338,4908
2338,6343
2342,4243
2342,7008
2343,5607
2343,5644
2345,5595
2345,5656
2347,66
2347,11185
2350,3467
2350,7784
2351,3514
2351,7737
2358,142
2358,11109
2363,3652
2363,7599
2364,4530
2364,6721
2368,2061
2368,9190
2370,2436
2370,8815
2371,4173
2371,7078
2373,3764
2373,7487
2375,2262
2375,8989
2377,288
2377,10963
2378,3901
2378,7350
2379,2548
2379,8703
2381,296
2381,10955
2382,3653
2382,7598
2385,2014
2385,9237
2390,1640
2390,9611
2391,1503
2391,9748
2394,5022
2394,6229
2395,1409
2395,9842
2397,236
2397,11015
2400,652
2400,10599
2401,1078
2401,10173
2403,4999
2403,6252
2406,4367
2406,6884
2407,5085
2407,6166
2408,4774
2408,6477
2411,2430
2411,8821
2412,2193
2412,9058
2413,2791
2413,8460
2414,1150
2414,10101
2416,549
2416,10702
2417,144
2417,11107
2418,1158
2418,10093
2420,1656
2420,9595
2421,2968
2421,8283
2422,5577
2422,5674
2423,5618
2423,5633
2426,4624
2426,6627
2427,4125
2427,7126
2428,4935
2428,6316
2429,3331
2429,7920
2430,368
2430,10883
2431,5189
2431,6062
2432,3818
2432,7433
2435,1558
2435,9693
2437,3025
2437,8226
2441,4514
2441,6737
2442,5286
2442,5965
2444,2310
2444,8941
2446,340
2446,10911
2448,2900
2448,8351
2449,1640
2449,9611
2450,5452
2450,5799
2451,1996
2451,9255
2452,1969
2452,9282
2453,1025
2453,10226
2458,2043
2458,9208
2459,3683
2459,7568
2460,1472
2460,9779
2461,2790
2461,8461
2463,5439
2463,5812
2466,4281
2466,6970
2467,2989
2467,8262
2469,4890
2469,6361
2472,3815
2472,7436
2478,393
2478,10858
2480,1759
2480,9492
2482,3199
2482,8052
2490,4224
2490,7027
2491,4181
2491,7070
2492,4878
2492,6373
2493,1655
2493,9596
2494,714
2494,10537
2495,4117
